Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 1	Peptides 2	Peptides 3	Peptides 7	Peptides 8	Peptides 9	Razor + unique peptides 1	Razor + unique peptides 2	Razor + unique peptides 3	Razor + unique peptides 7	Razor + unique peptides 8	Razor + unique peptides 9	Unique peptides 1	Unique peptides 2	Unique peptides 3	Unique peptides 7	Unique peptides 8	Unique peptides 9	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 1	Identification type 2	Identification type 3	Identification type 7	Identification type 8	Identification type 9	Sequence coverage 1 [%]	Sequence coverage 2 [%]	Sequence coverage 3 [%]	Sequence coverage 7 [%]	Sequence coverage 8 [%]	Sequence coverage 9 [%]	Intensity	Intensity 1	Intensity 2	Intensity 3	Intensity 7	Intensity 8	Intensity 9	iBAQ	iBAQ 1	iBAQ 2	iBAQ 3	iBAQ 7	iBAQ 8	iBAQ 9	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__P35908;CON__Q7Z794;CON__Q9R0H5;CON__Q6NXH9	CON__P35908	18;3;2;2	15;1;1;1	8;0;0;0	>P35908 SWISS-PROT:P35908 Tax_Id=9606 Gene_Symbol=KRT2 Keratin, type II cytoskeletal 2 epidermal	4	18	15	8	9	11	9	14	15	15	6	8	7	12	12	12	2	4	3	6	8	6	28.1	25	14.3	65.865	645	645;578;524;539	0	74.251	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	14.1	17.7	13.8	22.2	23.1	23.4	687070	94371	113080	89313	131410	113150	145740	16359	2246.9	2692.4	2126.5	3128.7	2694.2	3470.1	53			+	10	838;1684;2378;2526;2867;2915;3494;4012;4537;4606;5229;5364;5944;6230;6849;6856;7677;7765	True;True;True;False;True;True;False;True;True;True;True;True;True;True;True;True;False;True	896;1804;2542;2698;3056;3108;3731;4280;4836;4907;5618;5764;6367;6673;7328;7335;8205;8298	4443;4444;4445;4446;4447;4448;9200;12833;12834;12835;12836;12837;12838;13588;13589;13590;13591;13592;13593;15370;15371;15372;15373;15632;15633;15634;18833;18834;18835;18836;18837;18838;21838;21839;21840;24616;24617;24618;24955;24956;24957;24958;24959;24960;28394;28395;28396;28397;28398;28399;29174;29175;29176;29177;32248;33765;33766;33767;33768;33769;37080;37081;37082;37083;37084;37085;37107;37108;41575;41576;41577;41578;41579;41580;41581;41582;41583;42021	4757;4758;4759;4760;4761;10207;14219;14220;14221;14222;14223;14224;14225;14226;14227;15098;15099;15100;15101;15102;15103;15104;15105;15106;15107;15108;15109;15110;17159;17160;17161;17475;17476;21069;21070;21071;21072;21073;21074;21075;21076;21077;21078;21079;24302;24303;24304;27467;27468;27469;27470;27471;27803;27804;31512;31513;31514;31515;31516;31517;32373;32374;32375;35350;37069;37070;37071;40802;40803;40804;40805;40806;40807;40808;40828;40829;45771;45772;45773;45774;45775;45776;46261	4757;10207;14225;15103;17161;17476;21070;24302;27469;27803;31516;32374;35350;37070;40804;40829;45772;46261		
CON__Q5XQN5;CON__Q922U2;CON__Q8BGZ7	CON__Q5XQN5;CON__Q922U2	15;14;4	6;5;1	0;0;0	>Q5XQN5 SWISS-PROT:Q5XQN5 (Bos taurus) Keratin, type II cytoskeletal 5;>Q922U2 SWISS-PROT:Q922U2 Tax_Id=10090 Gene_Symbol=Krt5 Keratin, type II cytoskeletal 5	3	15	6	0	9	11	11	6	14	11	1	3	2	1	6	5	0	0	0	0	0	0	15.3	8.8	0	62.936	601	601;580;551	0	46.31	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	8.2	11.3	9.7	7.7	15.3	13.5	145370	5963.3	19032	19630	6236.2	41870	52635	4153.4	170.38	543.78	560.87	178.18	1196.3	1503.9	13			+	11	1589;2351;2378;2525;3314;4642;4643;5220;5221;5278;5819;5820;5957;7677;7682	True;True;False;True;True;False;False;False;False;True;False;False;False;False;True	1701;2514;2542;2697;3539;4944;4945;5609;5610;5670;6240;6241;6381;8205;8210	8691;8692;8693;8694;12685;12686;12833;12834;12835;12836;12837;12838;13586;13587;17832;17833;25140;25141;25142;25143;25144;25145;25146;25147;25148;25149;28355;28356;28357;28358;28359;28360;28361;28362;28640;28641;28642;28643;28644;31579;31580;31581;31582;31583;31584;31585;31586;31587;31588;31589;32292;32293;32294;32295;32296;32297;32298;41575;41576;41577;41578;41579;41580;41581;41582;41583;41603;41604;41605	9694;9695;14039;14040;14219;14220;14221;14222;14223;14224;14225;14226;14227;15096;15097;19944;19945;27986;27987;27988;27989;27990;27991;27992;31459;31460;31461;31462;31463;31464;31465;31466;31467;31468;31469;31790;31791;34614;34615;34616;34617;34618;34619;35393;35394;35395;35396;35397;35398;35399;35400;35401;35402;35403;35404;35405;35406;35407;45771;45772;45773;45774;45775;45776;45810;45811;45812	9695;14039;14225;15096;19945;27988;27990;31459;31464;31790;34615;34619;35393;45772;45812		
Cre01.g000250.t1.2	Cre01.g000250.t1.2	1	1	1	>Cre01.g000250.t1.2 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	4.8	4.8	4.8	24.827	252	252	0	5.6741	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	4.8	0	4.8	4.8	4.8	4.8	7305.5	2087.4	0	2039.4	0	3178.7	0	1826.4	521.86	0	509.84	0	794.68	0	3				12	605	True	639	3157;3158;3159;3160;3161	3353;3354;3355	3354		
Cre01.g000350.t1.1	Cre01.g000350.t1.1	7	7	7	>Cre01.g000350.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	7	7	7	5	6	6	6	7	5	5	6	6	6	7	5	5	6	6	6	7	5	24.1	24.1	24.1	43.102	419	419	0	29.489	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	19.8	22	22	20.5	24.1	18.4	650090	92494	119390	126390	100920	104250	106650	23217	3303.4	4263.8	4513.9	3604.3	3723.2	3808.9	48				13	1014;1023;1642;5298;7467;7502;7504	True;True;True;True;True;True;True	1085;1094;1759;5694;7984;8023;8025	5405;5406;5407;5408;5409;5410;5454;5455;5456;5457;9007;9008;9009;9010;9011;28780;28781;28782;28783;28784;28785;28786;28787;28788;28789;28790;28791;40448;40449;40450;40451;40452;40453;40454;40455;40456;40457;40458;40459;40666;40667;40668;40669;40670;40671;40672;40679;40680	5874;5875;5876;5877;5878;5879;5945;5946;5947;10020;10021;10022;10023;10024;31938;31939;31940;31941;31942;31943;31944;31945;31946;44611;44612;44613;44614;44615;44616;44617;44618;44619;44620;44621;44622;44623;44834;44835;44836;44837;44838;44839;44840;44841;44842;44843;44856;44857	5877;5945;10023;31946;44611;44839;44857		
Cre01.g000900.t1.2	Cre01.g000900.t1.2	2	2	2	>Cre01.g000900.t1.2 Predicted DUF1350 domain containing protein ALS=CPLD20 DBV=JGI5.5 GN=CPLD20 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	2	2	2	1	1	0	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0	3.5	3.5	3.5	50.844	488	488	0	3.974	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By matching	1.6	1.6	0	0	1.8	0	73933	36318	33469	0	0	4146.1	0	2957.3	1452.7	1338.8	0	0	165.85	0	3				14	3409;4245	True;True	3641;4523	18370;18371;23096	20520;20521;25726	20520;25726		
Cre01.g001100.t1.2	Cre01.g001100.t1.2	2	2	2	>Cre01.g001100.t1.2 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	2	2	2	2	1	0	2	2	2	2	1	0	2	2	2	2	1	0	2	2	2	3.2	3.2	3.2	69.963	681	681	0	11.941	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	3.2	1.8	0	3.2	3.2	3.2	52867	7604.2	8048.4	0	19294	8346.4	9573.9	1468.5	211.23	223.57	0	535.94	231.84	265.94	6				15	6103;6450	True;True	6538;6907	33055;33056;33057;33058;33059;34948;34949;34950;34951	36241;36242;36243;38407;38408;38409	36242;38407		
Cre01.g001750.t1.2	Cre01.g001750.t1.2	1	1	1	>Cre01.g001750.t1.2 Chloroplast trigger factor ALS=TIG1 DBV=JGI5.5 GN=TIG1 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.1	3.1	3.1	60.329	548	548	0	5.2177	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	3.1	3.1	3.1	3.1	3.1	3.1	60125	10744	8402.1	10351	8530.1	9815.3	12283	1582.2	282.74	221.11	272.4	224.48	258.3	323.23	3				16	1558	True	1670	8515;8516;8517;8518;8519;8520	9505;9506;9507	9505		
Cre01.g002300.t1.2	Cre01.g002300.t1.2	6	6	5	>Cre01.g002300.t1.2 Peptidyl-prolyl cis-trans isomerase, cyclophilin-type DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	6	6	5	6	4	4	4	5	5	6	4	4	4	5	5	5	4	3	4	4	4	36.6	36.6	36.6	18.38	172	172	0	46.306	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	36.6	29.1	28.5	29.1	32.6	36.6	866990	177400	72972	65158	78573	226430	246460	72249	14783	6081	5429.8	6547.8	18869	20538	47				17	2577;3063;3499;3500;5474;6247	True;True;True;True;True;True	2751;3275;3736;3737;3738;5876;6691	13847;13848;13849;13850;13851;13852;13853;16523;16524;16525;16526;16527;16528;18852;18853;18854;18855;18856;18857;18858;18859;18860;18861;18862;18863;18864;18865;18866;29725;29726;29727;29728;29729;29730;29731;29732;29733;29734;29735;33852;33853;33854;33855	15390;15391;15392;15393;15394;15395;15396;15397;15398;15399;18465;18466;18467;18468;18469;18470;18471;18472;18473;18474;18475;21093;21094;21095;21096;21097;21098;21099;21100;21101;21102;21103;21104;21105;21106;21107;32909;32910;32911;32912;32913;32914;32915;32916;37143;37144;37145	15398;18466;21095;21107;32912;37144	11	22
Cre01.g002400.t1.1	Cre01.g002400.t1.1	3	3	3	>Cre01.g002400.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	3	3	3	0	2	2	2	2	1	0	2	2	2	2	1	0	2	2	2	2	1	16.6	16.6	16.6	24.659	229	229	0	11.534	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	10	10	10.9	10	4.4	52012	0	13808	11532	14636	5841.5	6194.6	4334.3	0	1150.7	960.96	1219.7	486.8	516.22	5				18	2854;3786;6131	True;True;True	3043;4044;6566	15316;15317;15318;15319;15320;20455;20456;20457;33179	17105;17106;17107;22903;22904;36371	17105;22904;36371		
Cre01.g002451.t1.1	Cre01.g002451.t1.1	1	1	1	>Cre01.g002451.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	3.5	3.5	3.5	34.467	339	339	0	3.662	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	0	0	0	3.5	3.5	3.5	24496	0	0	0	8189.9	8264.5	8041.8	1531	0	0	0	511.87	516.53	502.61	3				19	6179	True	6621	33487;33488;33489	36732;36733;36734	36733		
Cre01.g002500.t1.2	Cre01.g002500.t1.2	15	15	15	>Cre01.g002500.t1.2 Chlamyopsin, light-gated proton channel rhodopsin ALS=COP2 DBV=JGI5.5 GN=COP2 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	15	15	15	15	13	15	13	14	14	15	13	15	13	14	14	15	13	15	13	14	14	48.1	48.1	48.1	26.577	243	243	0	120.08	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	48.1	42	48.1	42	47.3	44.4	5135700	919690	685860	849680	709210	1003500	967740	302100	54100	40345	49981	41718	59029	56926	117				20	563;1253;2843;3037;3804;4091;4166;5442;5935;5936;6326;6738;6996;7855;7856	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	596;1337;3032;3238;4064;4366;4442;5842;6358;6359;6775;7210;7477;8395;8396	2945;2946;2947;2948;2949;6740;6741;6742;6743;6744;15262;15263;15264;15265;15266;15267;16320;16321;16322;16323;16324;20555;20556;20557;20558;20559;20560;22292;22293;22294;22295;22296;22297;22298;22299;22300;22301;22302;22670;22671;22672;22673;22674;22675;29549;29550;29551;29552;29553;29554;32192;32193;32194;32195;32196;32197;32198;32199;32200;32201;32202;32203;32204;32205;32206;32207;32208;32209;34264;34265;34266;34267;34268;34269;36491;36492;36493;36494;36495;37843;37844;37845;37846;37847;42474;42475;42476;42477;42478;42479;42480;42481;42482;42483;42484;42485;42486;42487;42488;42489;42490	3163;3164;3165;3166;3167;7462;7463;7464;7465;17047;17048;17049;17050;17051;17052;17053;17054;17055;18240;18241;18242;18243;18244;23032;23033;23034;23035;23036;24817;24818;24819;24820;24821;24822;24823;24824;24825;24826;24827;24828;24829;24830;24831;25237;25238;25239;25240;25241;25242;25243;25244;32739;32740;32741;32742;32743;32744;35287;35288;35289;35290;35291;35292;35293;35294;35295;35296;35297;35298;35299;35300;35301;35302;35303;37599;37600;37601;37602;37603;37604;37605;37606;37607;37608;37609;37610;37611;37612;37613;37614;40147;40148;40149;40150;40151;40152;41625;41626;41627;41628;46734;46735;46736;46737;46738;46739;46740;46741;46742;46743;46744;46745;46746;46747;46748;46749;46750;46751;46752;46753	3165;7464;17051;18240;23035;24831;25237;32742;35290;35293;37610;40151;41627;46734;46750		
Cre01.g004300.t1.2	Cre01.g004300.t1.2	10	10	10	>Cre01.g004300.t1.2 Asparagine synthase ALS=ASN1 DBV=JGI5.5 GN=ASN1 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	10	10	10	9	9	10	9	10	9	9	9	10	9	10	9	9	9	10	9	10	9	20.8	20.8	20.8	64.898	578	578	0	62.612	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	19.7	19	20.8	19.7	20.8	17.8	1345900	250360	227340	257710	200230	191460	218760	38453	7153	6495.3	7363.2	5720.8	5470.4	6250.3	60				21	369;503;787;891;2154;2583;3724;4077;5515;7249	True;True;True;True;True;True;True;True;True;True	388;531;532;843;954;2301;2758;3977;4350;5919;7754	1878;1879;1880;1881;1882;2604;2605;2606;2607;2608;2609;2610;4167;4168;4169;4170;4171;4172;4723;4724;4725;4726;4727;11614;11615;11616;11617;11618;11619;13889;13890;13891;13892;13893;13894;20101;20102;20103;20104;22213;22214;22215;22216;22217;22218;29952;29953;29954;29955;29956;29957;39259;39260;39261;39262;39263;39264;39265;39266;39267	1898;1899;1900;1901;1902;1903;1904;2752;2753;2754;2755;2756;2757;2758;4479;4480;4481;4482;4483;4484;5046;5047;5048;12841;12842;12843;12844;12845;12846;12847;12848;15468;15469;15470;15471;15472;15473;15474;15475;15476;15477;15478;15479;22497;22498;22499;22500;22501;24728;24729;24730;24731;24732;24733;33123;33124;33125;43283;43284;43285	1900;2756;4484;5046;12847;15475;22501;24729;33123;43285	12;13	484;485
Cre01.g004450.t1.2	Cre01.g004450.t1.2	5	5	5	>Cre01.g004450.t1.2 Membrane protein ALS=CPLD42 DBV=JGI5.5 GN=CPLD42 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	5	5	5	4	4	5	4	5	4	4	4	5	4	5	4	4	4	5	4	5	4	21.1	21.1	21.1	29.807	270	270	0	39.93	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	17.4	17.4	21.1	17.8	21.1	17.4	521830	95447	96115	93771	74234	75737	86526	32614	5965.4	6007.2	5860.7	4639.6	4733.6	5407.9	24				22	1213;2507;2565;5270;7308	True;True;True;True;True	1296;2677;2739;5661;7818	6550;6551;6552;6553;6554;6555;13485;13486;13487;13488;13489;13490;13491;13492;13493;13787;13788;13789;13790;13791;28605;28606;28607;28608;28609;28610;39610;39611;39612	7260;7261;7262;7263;7264;7265;14981;14982;14983;14984;14985;14986;14987;14988;15323;15324;15325;15326;15327;31749;31750;31751;31752;31753;31754;43685;43686;43687;43688	7260;14983;15326;31754;43686		
Cre01.g004500.t1.2	Cre01.g004500.t1.2	10	10	10	>Cre01.g004500.t1.2 Isopropylmalate dehydratase, large subunit ALS=LEU1L DBV=JGI5.5 GN=LEU1L OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	10	10	10	7	6	7	8	7	8	7	6	7	8	7	8	7	6	7	8	7	8	26.5	26.5	26.5	52.803	487	487	0	38.927	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	20.3	19.1	20.3	22.2	18.7	23.8	1041000	163410	126700	168140	193490	178740	210500	33580	5271.2	4087	5423.7	6241.5	5765.8	6790.4	55				23	1872;1930;2498;3617;5193;6313;6565;7270;7529;7701	True;True;True;True;True;True;True;True;True;True	1998;2059;2668;3861;5582;6762;7027;7777;8052;8233	10154;10473;10474;10475;10476;10477;13451;19518;19519;19520;19521;19522;19523;28190;28191;28192;28193;28194;28195;34198;34199;34200;35549;35550;35551;35552;35553;35554;35555;35556;35557;35558;35559;35560;39395;39396;39397;39398;39399;39400;40818;40819;40820;41700;41701;41702;41703;41704;41705	11161;11548;11549;11550;11551;11552;11553;11554;14961;21820;21821;21822;21823;31283;31284;31285;31286;31287;31288;37516;37517;37518;39082;39083;39084;39085;39086;39087;39088;39089;39090;39091;43443;43444;43445;43446;43447;43448;43449;43450;43451;43452;43453;43454;45010;45011;45012;45927;45928;45929;45930;45931;45932;45933;45934;45935	11161;11550;14961;21822;31286;37516;39089;43451;45010;45931	14;15	220;224
Cre01.g004900.t1.2	Cre01.g004900.t1.2	5	5	4	>Cre01.g004900.t1.2 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	28.2	28.2	22.5	23.603	227	227	0	43.618	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	28.2	28.2	28.2	28.2	28.2	28.2	407780	63503	76614	58168	69863	69542	70090	29127	4535.9	5472.4	4154.9	4990.2	4967.3	5006.4	37				24	2283;3019;4853;7271;7489	True;True;True;True;True	2441;2442;3220;5168;7778;8010	12313;12314;12315;12316;12317;12318;12319;12320;12321;12322;12323;16233;16234;16235;16236;16237;16238;16239;16240;26206;26207;26208;26209;26210;26211;39401;39402;39403;39404;39405;39406;40594;40595;40596;40597;40598;40599	13606;13607;13608;13609;13610;13611;13612;13613;13614;13615;13616;13617;13618;18135;18136;18137;18138;18139;18140;18141;18142;29193;29194;29195;29196;29197;29198;29199;29200;43455;43456;43457;43458;43459;43460;44765;44766	13607;18141;29195;43458;44765	16	77
Cre01.g004950.t1.1	Cre01.g004950.t1.1	3	2	2	>Cre01.g004950.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	3	2	2	3	3	3	2	3	3	2	2	2	1	2	2	2	2	2	1	2	2	17.5	11.8	11.8	24.329	229	229	0	23.345	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	17.5	17.5	17.5	10.9	17.5	17.5	147600	27253	27613	25070	12748	27848	27066	10543	1946.7	1972.3	1790.7	910.57	1989.1	1933.3	13				25	2283;3009;4852	False;True;True	2441;2442;3210;5167	12313;12314;12315;12316;12317;12318;12319;12320;12321;12322;12323;16189;16190;16191;16192;16193;16194;26201;26202;26203;26204;26205	13606;13607;13608;13609;13610;13611;13612;13613;13614;13615;13616;13617;13618;18084;18085;18086;18087;18088;18089;18090;18091;29188;29189;29190;29191;29192	13607;18087;29188	16	79
Cre01.g005050.t1.1;Cre01.g006250.t1.2;Cre10.g423050.t1.2;Cre09.g398141.t1.1;Cre05.g235400.t1.2	Cre01.g005050.t1.1	4;1;1;1;1	4;1;1;1;1	4;1;1;1;1	>Cre01.g005050.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	5	4	4	4	2	2	1	3	4	3	2	2	1	3	4	3	2	2	1	3	4	3	4.1	4.1	4.1	96.717	870	870;179;886;2354;2974	0	8.2846	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	1.7	2.1	1	3.4	4.1	3.1	160830	22149	26483	26495	38676	27283	19741	2821.5	388.57	464.62	464.82	678.52	478.65	346.33	9				26	413;686;4922;6324	True;True;True;True	433;723;5242;6773	2107;2108;2109;3559;3560;3561;3562;26577;26578;26579;34253;34254;34255;34256;34257	2192;3815;3816;3817;3818;29639;37588;37589;37590	2192;3818;29639;37589		
Cre01.g005150.t1.1	Cre01.g005150.t1.1	7	7	7	>Cre01.g005150.t1.1 Serine glyoxylate aminotransferase ALS=SGA1 DBV=JGI5.5 GN=SGA1 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	7	7	7	5	6	6	4	4	5	5	6	6	4	4	5	5	6	6	4	4	5	19.4	19.4	19.4	48.791	448	448	0	77.729	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	13.8	16.1	16.1	11.4	10.3	13.6	552160	97064	95089	97320	98658	59098	104930	22086	3882.5	3803.6	3892.8	3946.3	2363.9	4197.3	42				27	705;717;1490;5804;6869;7565;7669	True;True;True;True;True;True;True	749;767;1598;6223;7348;8089;8197	3708;3709;3710;3799;3800;3801;8111;8112;8113;8114;8115;8116;31503;31504;31505;31506;31507;31508;31509;37165;37166;37167;37168;37169;37170;40994;40995;40996;40997;40998;41547;41548	3997;3998;3999;4000;4001;4078;4079;8979;8980;8981;8982;8983;8984;8985;8986;8987;8988;8989;8990;34527;34528;34529;34530;34531;34532;34533;34534;34535;40887;40888;40889;40890;40891;40892;40893;40894;45193;45194;45195;45196;45197;45733	4000;4079;8980;34527;40894;45197;45733		
Cre01.g005850.t1.2	Cre01.g005850.t1.2	3	3	3	>Cre01.g005850.t1.2 Cobalamin adenosyltransferase and Flagellar Associated Protein DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	3	3	3	1	1	1	3	3	3	1	1	1	3	3	3	1	1	1	3	3	3	17.1	17.1	17.1	20.648	187	187	0	7.0761	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	5.9	5.9	5.3	17.1	17.1	17.1	52970	1850.6	1673	8207.8	15579	15636	10023	4815.4	168.24	152.09	746.16	1416.3	1421.5	911.16	7				28	3292;4659;5001	True;True;True	3517;4963;5345	17709;17710;17711;17712;17713;25248;25249;25250;25251;27047;27048;27049	19838;19839;19840;28117;28118;28119;30110;30111	19840;28117;30111		
Cre01.g006950.t2.1;Cre01.g006950.t1.1	Cre01.g006950.t2.1;Cre01.g006950.t1.1	7;7	7;7	7;7	>Cre01.g006950.t2.1 Fructose-1,6-bisphosphate aldolase ALS=FBA1 DBV=JGI5.5 GN=FBA1 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre;>Cre01.g006950.t1.1 Fructose-1,6-bisphosphate aldolase ALS=FBA1 DBV=JGI5.5 GN=FBA1 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	2	7	7	7	4	4	3	7	7	6	4	4	3	7	7	6	4	4	3	7	7	6	22.3	22.3	22.3	42.063	391	391;391	0	105.26	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	14.1	14.1	14.1	22.3	22.3	18.9	496940	73630	75148	66282	91230	101500	89150	27608	4090.6	4174.9	3682.3	5068.3	5639.1	4952.8	24				29	756;2206;2950;4226;5684;6237;6866	True;True;True;True;True;True;True	811;2360;3148;4503;6095;6680;7345	4021;4022;4023;11932;11933;15864;15865;15866;15867;15868;15869;22996;22997;22998;22999;23000;30822;30823;30824;30825;30826;30827;33805;33806;33807;37148;37149;37150;37151;37152;37153	4310;4311;4312;13204;13205;17733;17734;17735;17736;17737;17738;25606;25607;25608;33917;37098;37099;37100;40873;40874;40875;40876;40877;40878	4310;13204;17733;25607;33917;37098;40878		
Cre01.g007600.t2.1;Cre01.g007600.t1.1	Cre01.g007600.t2.1;Cre01.g007600.t1.1	1;1	1;1	1;1	>Cre01.g007600.t2.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre;>Cre01.g007600.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.1	3.1	3.1	27.731	260	260;260	0.0022727	2.4212	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	3.1	3.1	3.1	3.1	3.1	3.1	42788	5930.7	10321	8348.9	9431.9	0	8755.9	2377.1	329.49	573.36	463.83	523.99	0	486.44	5				30	2516	True	2687	13535;13536;13537;13538;13539;13540;13541	15040;15041;15042;15043;15044	15044		
Cre01.g007700.t1.1	Cre01.g007700.t1.1	5	5	5	>Cre01.g007700.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	5	5	5	3	3	3	5	4	4	3	3	3	5	4	4	3	3	3	5	4	4	11.5	11.5	11.5	62.264	617	617	0	71.694	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7.3	5.8	7.3	11.5	9.6	9.6	361750	41670	58701	43473	68916	74001	74990	12474	1436.9	2024.2	1499.1	2376.4	2551.7	2585.9	19				31	2402;3031;4106;5035;6655	True;True;True;True;True	2569;3232;4381;5397;7119	12963;12964;12965;16293;16294;22376;22377;22378;22379;22380;22381;27270;27271;27272;27273;27274;27275;36005;36006;36007;36008;36009;36010	14377;14378;14379;18199;18200;24918;24919;24920;24921;24922;24923;30323;30324;30325;39587;39588;39589;39590;39591	14379;18200;24919;30325;39590		
Cre01.g007774.t1.1	Cre01.g007774.t1.1	1	1	1	>Cre01.g007774.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1.5	1.5	1.5	71.135	734	734	0.005132	2.1353	By matching	By MS/MS	By matching	By matching	By matching	By matching	1.5	1.5	0	0	0	0	4199.3	2178.8	2020.5	0	0	0	0	161.51	83.801	77.711	0	0	0	0	1				32	1715	True	1835	9358;9359	10347	10347		
Cre01.g007850.t1.2	Cre01.g007850.t1.2	2	2	2	>Cre01.g007850.t1.2 Predicted protein ALS=TEF29 DBV=JGI5.5 GN=TEF29 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	2	2	2	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	14.8	14.8	14.8	17.092	149	149	0	10.529	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	8.7	0	6	6	6	8.7	79253	15572	0	19994	16231	17015	10441	8805.8	1730.2	0	2221.6	1803.4	1890.5	1160.1	4				33	3308;5037	True;True	3533;5400	17789;17790;17791;27287;27288	19909;19910;19911;30339	19909;30339		
